region_name,location_name,site_name,site_type,reef_name,protection_status,mpa_name,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,fishing_restrictions,shark_fishing_gear,region_id,location_id,site_id,reef_id
Western Atlantic,Bahamas,Aklins,I,Aklins,restricted,,,,,,"gear, size, species, effort",,1,3,22,58
Western Atlantic,Bahamas,Andros,B,North,restricted,,,,,,"size, gear, area, effort, species",spear; hook and line,1,3,23,60
Western Atlantic,Bahamas,Andros,B,South,restricted,,,,,,"effort, species, gear, size",hook and line; spear,1,3,23,61
Western Atlantic,Bahamas,Berry Islands,I,Chub Cay,restricted,,,,,,"species, size, effort, gear, area",spear; hook and line,1,3,274,590
Western Atlantic,Bahamas,Bimini,I,Bimini North,restricted,,,,,,"gear, species, size",spear; hook and line; fish trap; drumline,1,3,24,62
Western Atlantic,Bahamas,Bimini,I,Bimini South,restricted,,,,,,"gear, species, size",spear; fish trap; drumline; hook and line,1,3,24,515
Western Atlantic,Bahamas,Conception,I,Conception,closed,Conception Island National Park,109.80,1964,>20km to next reef,medium,"area, size, effort, species, gear",,1,3,26,64
Western Atlantic,Bahamas,Eleuthera,I,Eleuthera,restricted,,,,,,"effort, size, gear, species",,1,3,27,65
Western Atlantic,Bahamas,Exumas,I,Middle,closed,Exuma Cays Land and Sea Park,455.80,1986,continuous,high,"effort, size, gear, area, species",,1,3,28,66
Western Atlantic,Bahamas,Exumas,I,North,restricted,,,,,,"size, species, gear, effort",spear; hook and line,1,3,28,67
Western Atlantic,Bahamas,Exumas,I,South,restricted,,,,,,"size, gear, species, effort",spear; hook and line,1,3,28,68
Western Atlantic,Bahamas,Grand Bahama,I,Grand Bahama,restricted,,,,,,"gear, size, species, effort",,1,3,29,69
Western Atlantic,Bahamas,Great Inagua,I,Great Inagua,restricted,,,,,,"size, effort, gear, species",,1,3,30,70
Western Atlantic,Bahamas,Gun Cay,I,Gun Cay,restricted,,,,,,"species, gear, effort, size",,1,3,31,71
Western Atlantic,Bahamas,New Providence,I,Nassau North,restricted,,,,,,"species, gear, effort, size",spear; hook and line,1,3,32,72
Western Atlantic,Bahamas,New Providence,I,Nassau South,restricted,,,,,,"effort, gear, species, size",hook and line; spear,1,3,32,73
Western Atlantic,Bahamas,San Salvador,I,Pelagic,closed,,,,,,"effort, temporal, entrants, bag, area, size, species, gear",spear; hook and line,1,3,33,803
Western Atlantic,Bahamas,San Salvador,I,San Salvador,restricted,,,,,,"species, size, effort, gear",spear; hook and line,1,3,33,74
Western Atlantic,Barbados,Barbados,V,Northeast,restricted,,,,,,"species, effort",fish trap; drumline; seine; spear; longline; hook and line; gillnet,1,10,43,90
Western Atlantic,Barbados,Barbados,V,Northwest,restricted,,,,,,"effort, species",seine; drumline; fish trap; longline; hook and line; gillnet; spear,1,10,43,89
Western Atlantic,Barbados,Barbados,V,Southeast,restricted,,,,,,"effort, species",drumline; gillnet; hook and line; spear; longline; seine; fish trap,1,10,43,88
Western Atlantic,Barbados,Barbados,V,Southwest,restricted,,,,,,"effort, species",seine; gillnet; spear; longline; hook and line; fish trap; drumline,1,10,43,87
Western Atlantic,Belize,Baccalar Chico,C,North,restricted,Baccalar Chico Marine Reserve,,,continuous,unknown,"species, effort, size, gear",gillnet,1,1,12,38
Western Atlantic,Belize,Baccalar Chico,C,South,restricted,Baccalar Chico Marine Reserve,,,continuous,unknown,"species, size, effort, gear",gillnet,1,1,12,39
Western Atlantic,Belize,Belize City,B,Belize City,restricted,,,,,,"size, species, effort",hook and line; seine; drumline; gillnet; longline; spear,1,1,13,40
Western Atlantic,Belize,Caye Caulker,B,Caye Caulker,closed,Caye Caulker Marine Reserve,15.45,1998,continuous,high,"species, area, gear, size, effort",,1,1,14,41
Western Atlantic,Belize,Caye Caulker,B,Caye Caulker Lagoon,closed,Caye Caulker Marine Reserve,15.45,1998,continuous,high,"area, gear, effort, size, species",,1,1,14,744
Western Atlantic,Belize,Gladden Spit,I,Gladden Spit,restricted,Gladden Spit and Silk Cayes Marine Reserve,,,continuous,unknown,"gear, species, effort, size",gillnet,1,1,15,42
Western Atlantic,Belize,Glovers Reef,A,East,closed,Glover's Reef Marine Reserve,70.00,1993,continuous,high,"size, effort, species, gear, area",,1,1,16,43
Western Atlantic,Belize,Glovers Reef,A,Glovers Lagoon,closed,Glover's Reef Marine Reserve,70.00,1993,continuous,high,"effort, gear, species, area, size",,1,1,16,158
Western Atlantic,Belize,Glovers Reef,A,North,restricted,Glover's Reef Marine Reserve,70.00,1993,continuous,high,"gear, species, effort, size",gillnet,1,1,16,44
Western Atlantic,Belize,Glovers Reef,A,South,restricted,Glover's Reef Marine Reserve,70.00,1993,continuous,high,"effort, size, gear, species",gillnet,1,1,16,45
Western Atlantic,Belize,Glovers Reef,A,West,restricted,Glover's Reef Marine Reserve General Use Zone,260.00,1993,continuous,high,"size, effort, species, gear, area",spear; hook and line,1,1,16,510
Western Atlantic,Belize,Lighthouse Reef,A,Lighthouse Halfmoon,closed,Halfmoon Cay Natural Monument,41.20,1982,continuous,high,"gear, size, area, effort, species",,1,1,17,159
Western Atlantic,Belize,Lighthouse Reef,A,Lighthouse Sandbore,restricted,,,,,,"species, size, effort",seine; longline; spear; drumline; gillnet; hook and line,1,1,17,160
Western Atlantic,Belize,Lighthouse Reef,A,North,restricted,,,,,,"effort, size, gear, species",gillnet,1,1,17,46
Western Atlantic,Belize,Lighthouse Reef,A,South,restricted,,,,,,"effort, size, gear, species",gillnet,1,1,17,47
Western Atlantic,Belize,Riversdale,C,Riversdale,restricted,,,,,,"gear, temporal, entrants, effort, species",hook and line; gillnet; longline,1,1,345,802
Western Atlantic,Belize,Silk Cayes,B,Silk Cayes,restricted,,,,,,"temporal, entrants, species, gear",gillnet; longline; spear; hook and line,1,1,346,804
Western Atlantic,Belize,Southwater Cay,I,Lagoon,restricted,,,,,,"species, effort, size",gillnet; longline; seine; drumline; spear; hook and line,1,1,18,745
Western Atlantic,Belize,Southwater Cay,I,North,restricted,South Water Caye Marine Reserve,120.00,2011,continuous,low,"size, effort, species, gear",gillnet,1,1,18,49
Western Atlantic,Belize,Southwater Cay,I,South,restricted,South Water Caye Marine Reserve,120.00,2011,continuous,low,"size, gear, species, effort",gillnet,1,1,18,48
Western Atlantic,Belize,Southwater Cay,I,Southwater Cay,restricted,South Water Caye Marine Reserve,120.00,2011,continuous,low,"size, area, gear, species, effort",gillnet; seine; hook and line; longline; spear; drumline,1,1,18,50
Western Atlantic,Belize,Turneffe Atoll,A,Lagoon,restricted,,,,,,"effort, species, size",spear; longline; gillnet; drumline; hook and line; seine,1,1,19,746
Western Atlantic,Belize,Turneffe Atoll,A,Middle,restricted,Turneffe Atoll Marine Reserve,,,continuous,unknown,"size, species, gear, effort",gillnet,1,1,19,51
Western Atlantic,Belize,Turneffe Atoll,A,Reef,restricted,,,,,,"size, species, effort",gillnet; seine; drumline; spear; longline; hook and line,1,1,19,52
Western Atlantic,Belize,Turneffe Atoll,A,South,restricted,Turneffe Atoll Marine Reserve,,,continuous,unknown,"effort, gear, species, size",gillnet,1,1,19,53
Western Atlantic,Bermuda,Bermuda,V,North,restricted,,,,,,"species, gear, effort, size, area, bag, entrants, temporal",seine; fish trap; spear; hook and line; gillnet,1,123,343,796
Western Atlantic,Brazil,Abrolhos,C,Abrolhos Archipelago,closed,"Abrolhos Marine National Park, high compliance zone",913.00,1983,<20km to next reef,high,"gear, species, area, size, effort",,1,75,310,719
Western Atlantic,Brazil,Abrolhos,C,Parcel Abrolhos,restricted,,,,,,"effort, species",hook and line; gillnet; longline,1,75,310,720
Western Atlantic,Brazil,Abrolhos,C,Parcel Paredes,closed,"Abrolhos Marine National Park, low compliance zone",913.00,1983,<20km to next reef,low,"effort, species, size, gear, area",,1,75,310,721
Western Atlantic,Brazil,Abrolhos,C,Timbebas,closed,"Abrolhos Marine National Park, low compliance zone",913.00,1983,<20km to next reef,low,"area, gear, species, effort, size",,1,75,310,722
Western Atlantic,Brazil,Fernando de Noronha,V,APA Area,restricted,,,,,,"area, gear, species",hook and line,1,75,130,610
Western Atlantic,Brazil,Fernando de Noronha,V,National Park,closed,Fernando de Noronha Marine National Park,112.70,1988,continuous,high,"area, size, gear, species, effort",,1,75,130,166
Western Atlantic,Brazil,Recife,C,North,restricted,,,,,,"effort, species",drumline; fish trap; seine; longline; gillnet; hook and line,1,75,139,336
Western Atlantic,Brazil,Recife,C,South,restricted,,,,,,"species, effort",gillnet; longline; hook and line; seine; drumline; fish trap,1,75,139,413
Western Atlantic,British West Indies,Montserrat,I,Montserrat West,restricted,,,,,,"gear, size",hook and line; seine; spear; fish trap,1,111,217,491
Western Atlantic,Colombia,Cayos de Albuquerque,I,Albuquerque,restricted,Seaflower Biosphere Reserve,180000.00,2000,>20km to next reef,low,"species, gear, effort, size, area",spear; fish trap; longline; hook and line,1,109,344,800
Western Atlantic,Colombia,Cayos de Albuquerque,I,West,restricted,Seaflower Biosphere Reserve,180000.00,2000,>20km to next reef,low,"effort, area, species, size, gear",hook and line; fish trap; longline; spear,1,109,344,801
Western Atlantic,Colombia,Cayo Serranilla,I,Cayo Serranilla,restricted,Seaflower Biosphere Reserve,180000.00,2000,>20km to next reef,low,"effort, species, area, size, gear",fish trap; hook and line; longline; spear,1,109,252,556
Western Atlantic,Colombia,Islas Del Rosario,I,Isla Grande,closed,National Park of the Corals Rosario and San Bernardo,1200.00,1985,<20km to next reef,medium,"gear, effort",gillnet; spear; longline; seine; hook and line; blast,1,109,211,478
Western Atlantic,Colombia,Islas Del Rosario,I,Isla Tesoro,closed,National Park of the Corals Rosario and San Bernardo,1200.00,1985,<20km to next reef,medium,"gear, area",gillnet; seine; longline; spear; hook and line,1,109,211,479
Western Atlantic,Colombia,Islas de San Bernardo,I,Isla Mangle,restricted,National Park of the Corals Rosario and San Bernardo,1200.00,1985,<20km to next reef,medium,"gear, area",longline,1,109,212,481
