"set_id","shark_trophic_group","shark_trophic_numeric","sum_shark_trophic","set_composition"
"32396","lower order",1,1,"lower"
"35074","lower order",1,1,"lower"
"17223","lower order",1,1,"lower"
"35075","lower order",1,1,"lower"
"28291","lower order",1,1,"lower"
"28295","lower order",1,1,"lower"
"28303","lower order",1,1,"lower"
"17225","lower order",1,1,"lower"
"17226","lower order",1,1,"lower"
"17227","lower order",1,1,"lower"
"17230","lower order",1,1,"lower"
"28339","lower order",1,1,"lower"
"18460","lower order",1,1,"lower"
"32397","lower order",1,1,"lower"
"32398","lower order",1,1,"lower"
"32401","lower order",1,1,"lower"
"18640","apex",2,2,"apex"
"32402","lower order",1,1,"lower"
"32403","lower order",1,1,"lower"
"28152","lower order",1,1,"lower"
"3400","lower order",1,1,"lower"
"24233","lower order",1,1,"lower"
"32405","lower order",1,1,"lower"
"32406","lower order",1,1,"lower"
"18936","apex",2,2,"apex"
"32407","lower order",1,1,"lower"
"32408","lower order",1,1,"lower"
"32410","lower order",1,1,"lower"
"32411","lower order",1,1,"lower"
"32412","lower order",1,1,"lower"
"32420","lower order",1,1,"lower"
"32442","lower order",1,1,"lower"
"32448","lower order",1,1,"lower"
"35084","lower order",1,1,"lower"
"35086","lower order",1,1,"lower"
"35066","lower order",1,1,"lower"
"19090","lower order",1,1,"lower"
"19116","lower order",1,1,"lower"
"19117","lower order",1,1,"lower"
"19118","lower order",1,1,"lower"
"19120","lower order",1,1,"lower"
"19121","lower order",1,1,"lower"
"19122","lower order",1,1,"lower"
"19123","lower order",1,1,"lower"
"19124","lower order",1,1,"lower"
"19125","lower order",1,1,"lower"
"35100","lower order",1,1,"lower"
"35101","lower order",1,1,"lower"
"35105","lower order",1,1,"lower"
"35106","lower order",1,1,"lower"
"35113","lower order",1,1,"lower"
"35112","lower order",1,1,"lower"
"19729","apex",2,2,"apex"
"19730","apex",2,2,"apex"
"17009","lower order",1,1,"lower"
"35128","apex",2,2,"apex"
"20505","lower order",1,1,"lower"
"35148","lower order",1,1,"lower"
"35154","lower order",1,1,"lower"
"24480","lower order",1,1,"lower"
"32453","lower order",1,1,"lower"
"35232","lower order",1,1,"lower"
"35233","lower order",1,1,"lower"
"35237","lower order",1,1,"lower"
"35239","lower order",1,1,"lower"
"35240","lower order",1,1,"lower"
"35245","lower order",1,1,"lower"
"35251","lower order",1,1,"lower"
"35254","lower order",1,1,"lower"
"35255","lower order",1,1,"lower"
"35258","lower order",1,1,"lower"
"35260","lower order",1,1,"lower"
"28388","lower order",1,1,"lower"
"28391","lower order",1,1,"lower"
"28396","lower order",1,1,"lower"
"28405","lower order",1,1,"lower"
"28412","lower order",1,1,"lower"
"28426","lower order",1,1,"lower"
"28427","lower order",1,1,"lower"
"28428","lower order",1,1,"lower"
"28429","lower order",1,1,"lower"
"24655","lower order",1,1,"lower"
"35261","lower order",1,1,"lower"
"28442","lower order",1,1,"lower"
"28443","lower order",1,1,"lower"
"28444","lower order",1,1,"lower"
"28445","lower order",1,1,"lower"
"28446","lower order",1,1,"lower"
"28448","lower order",1,1,"lower"
"28449","lower order",1,1,"lower"
"28451","lower order",1,1,"lower"
"28452","lower order",1,1,"lower"
"28453","lower order",1,1,"lower"
"28438","lower order",1,1,"lower"
"28439","lower order",1,1,"lower"
"28441","lower order",1,1,"lower"
"22814","lower order",1,1,"lower"
"22822","lower order",1,1,"lower"
"22825","lower order",1,1,"lower"
"22834","lower order",1,1,"lower"
"22888","lower order",1,3,"apex"
"22888","apex",2,3,"apex"
"22899","lower order",1,1,"lower"
"22900","lower order",1,1,"lower"
"22901","lower order",1,1,"lower"
"22902","lower order",1,1,"lower"
"22903","lower order",1,1,"lower"
"23008","lower order",1,1,"lower"
"23013","lower order",1,1,"lower"
"23019","lower order",1,1,"lower"
"23036","lower order",1,1,"lower"
"28454","lower order",1,1,"lower"
"23140","lower order",1,1,"lower"
"23186","lower order",1,1,"lower"
"23194","lower order",1,1,"lower"
"23196","lower order",1,1,"lower"
"23199","lower order",1,1,"lower"
"23259","lower order",1,1,"lower"
"23262","lower order",1,1,"lower"
"23265","lower order",1,1,"lower"
"23322","lower order",1,1,"lower"
"23336","lower order",1,1,"lower"
"23337","lower order",1,1,"lower"
"23338","lower order",1,1,"lower"
"23354","lower order",1,1,"lower"
"23358","lower order",1,1,"lower"
"23364","lower order",1,1,"lower"
"23377","apex",2,2,"apex"
"23390","lower order",1,1,"lower"
"23395","lower order",1,1,"lower"
"23401","lower order",1,3,"apex"
"23401","apex",2,3,"apex"
"23414","lower order",1,1,"lower"
"23415","lower order",1,1,"lower"
"23421","lower order",1,1,"lower"
"23441","lower order",1,1,"lower"
"23461","lower order",1,1,"lower"
"23469","lower order",1,1,"lower"
"23500","lower order",1,1,"lower"
"23520","lower order",1,1,"lower"
"23521","lower order",1,1,"lower"
"23526","apex",2,2,"apex"
"23536","lower order",1,1,"lower"
"23543","lower order",1,3,"apex"
"23543","apex",2,3,"apex"
"23553","lower order",1,1,"lower"
"23555","lower order",1,1,"lower"
"23559","lower order",1,1,"lower"
"23568","lower order",1,1,"lower"
"23615","apex",2,2,"apex"
"23616","lower order",1,1,"lower"
"23626","lower order",1,1,"lower"
"23654","lower order",1,1,"lower"
"23665","lower order",1,1,"lower"
"23674","lower order",1,3,"apex"
"23674","apex",2,3,"apex"
"23710","lower order",1,1,"lower"
"23719","lower order",1,1,"lower"
"23720","lower order",1,1,"lower"
"28456","lower order",1,1,"lower"
"28457","lower order",1,1,"lower"
"28458","lower order",1,1,"lower"
