"set_lat","set_long","set_id","reef_id","location_id","region_id","mpa_compliance","Shark_fishing_restrictions","Shark_Protection_Status","Shark_Sanctuary","HDI","Government_Effectiveness","Population","Grav_Total","maxn","ingestion_C_g_day","mpa_present","Area_limits","Entrants_limits","Gear_limits","Species_limits","Catch_limits","Size_limits","Temporal_limits","mult_outcomes"
-16.93958,179.02663,"20447","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.93921,179.07028,"20479","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9391,179.01991,"20460","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.93859,179.0686,"19491","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,72,"1","1","1","0","1","0","0","0",0
-16.93847,179.01987,"20444","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.93825,179.07066,"8751","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,253,"1","1","1","0","1","0","0","0",0
-16.93821,179.02811,"20448","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9380833,179.0702,"19426","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.93737,179.01894,"20459","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.93727,179.06989,"20496","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.93726,179.07101,"20501","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9370167,179.07105,"19427","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.93699,179.0732,"20478","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.93682,179.0708,"19492","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,72,"1","1","1","0","1","0","0","0",0
-16.93643,179.02927,"20466","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.93629,179.01913,"20443","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
